,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,Exam2,Final,original,semester
106,101208052,6461,6420,6420,6464,6465,3660,6420,6461,6420,3100,6420,4100,6409,6450,6464,6461,6463,6220,20,17.0,27.0,70.7,83
107,101208050,6461,6461,6100,6464,6461,4200,6465,6461,6461,6461,6465,5300,6461,6461,6461,6461,6463,6462,41,19.5,34.5,79.2,92
108,101208034,6461,6463,6464,6461,6463,6461,6463,6461,6461,6461,6464,6461,6464,6464,6463,6461,6461,6463,44,24.5,27.5,83.2,96
109,101208031,6461,6461,6464,6420,6465,6440,6461,6465,3500,6461,6465,6463,6461,6463,6461,6461,6461,6461,34,7.5,18.0,53.7,66
110,101208025,6461,6461,6230,6100,6461,4400,6463,6461,6461,6461,3300,3200,6461,6461,6461,6461,6461,3620,10,4.0,11.5,29.9,42
111,101208017,6461,6461,6220,6450,4500,6220,6463,6461,6461,6461,6461,5100,6461,6420,6461,6461,6461,6559,35,10.5,16.0,40.9,53
112,101208015,6461,6461,6461,6461,6100,6260,6461,6461,6461,6461,6461,4200,6461,6461,6461,6461,6463,6540,20,5.0,28.0,63.0,75
113,101208013,6461,6461,6461,6461,6450,6463,6464,6461,6461,6463,6461,6100,6461,6461,6461,6461,6461,6461,10,0.0,0.0,37.8,50
114,101208008,6461,6461,6461,6461,6450,6465,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6430,36,1.0,19.0,49.6,62
115,101208005,6461,6461,6461,6461,3400,6461,6461,6463,6461,6461,6461,6559,6461,6461,6461,6440,6461,6420,32,8.5,23.0,56.6,69
116,101208004,6461,6463,6464,6420,6463,6465,6461,6461,6461,6461,6461,6310,6463,6463,6461,6461,6461,6461,42,23.5,32.5,90.7,99
117,101208003,6461,6461,6461,6461,6461,6559,6461,6461,6461,6461,6461,6540,6461,6461,6461,6461,6461,6461,10,6.0,0.0,19.9,32
118,101208002,6461,6100,3400,6461,3300,6461,6461,6461,6461,6461,6461,6550,6461,6461,6461,6220,6461,6461,43,19.5,26.0,74.9,87
119,101205093,6461,6464,6464,6240,6450,6450,6461,6461,6461,6463,6320,2100,6220,6465,6430,6461,6461,4200,33,9.5,19.5,49.2,62
120,101205043,6463,6464,6461,6463,6461,6350,6461,6461,6220,6461,6461,6465,6420,6463,6461,6461,6461,4500,34,8.0,8.0,51.3,64
121,101205029,6461,6450,6559,6461,6465,3640,6463,6461,6430,6450,6600,3660,6461,6600,6540,6463,6463,6461,20,20.5,22.5,72.3,85
122,101204026,6461,6450,6465,3650,6450,6461,6461,6461,6420,6461,4200,6430,6240,6420,6461,6461,6461,5400,43,15.0,36.0,79.0,91
123,101203054,6461,6464,6461,6600,6461,6465,6461,6461,6100,6461,6465,5400,6461,6461,6461,6461,6461,6461,41,20.0,29.0,76.2,90
124,101203004,6461,6461,6461,6464,6463,6463,6461,6461,6465,6461,6420,6461,6461,6461,6463,6463,6463,6461,35,6.0,11.0,43.8,56
125,101103034,6461,6464,6461,6464,6461,6463,6461,6420,6509,6461,6463,3100,6461,6420,6461,6461,6465,3610,33,10.0,15.0,47.7,60
126,101102026,6461,6461,6463,6463,6463,6220,6461,6461,6461,6461,6461,6260,6461,6461,6461,6461,6461,6450,34,8.5,15.0,52.1,65
127,101102025,6461,6461,6463,6450,6210,3620,6463,6240,6463,6464,6461,6450,6461,6463,6420,6463,6420,6100,41,18.5,33.0,81.7,94
128,101101050,6461,6463,6465,6461,6461,6461,6465,6461,6465,6461,6463,6461,6461,6461,6463,6461,6461,6461,20,19.0,25.0,68.8,81
129,100508018,6461,6464,6100,6409,3620,6463,6463,6461,6463,6465,6420,6420,6461,6461,6461,6240,1300,6461,20,13.5,31.5,73.1,86
130,100401072,6461,6461,6463,6420,6450,6310,6465,6461,6440,6450,6350,5100,6461,6465,6600,6463,1300,6520,20,16.5,27.2,68.1,81
131,100401044,6461,6461,6420,6461,6461,6530,6420,6465,6461,6461,6461,5200,6461,6461,6461,6461,3500,6600,20,9.5,28.0,65.7,78
132,100208053,6461,6409,6461,6463,6461,6440,6461,6461,6461,6461,6461,6310,6461,6463,6463,6461,6450,6461,44,22.5,32.0,83.8,96
133,100206009,6461,6461,6440,6461,6440,6530,6461,6100,6461,6461,6461,6559,6450,6463,6430,6465,6465,6409,42,25.0,35.5,88.1,99
134,100202044,6461,6461,6465,6210,6463,6461,6463,6461,6465,6461,6100,3640,6461,6463,6465,6463,6461,1400,34,7.0,23.0,54.2,67
135,100104041,6461,6463,6464,6461,6463,6461,6450,6463,6310,6240,6100,6461,6420,6465,6420,6420,6461,3300,41,20.5,29.0,81.4,94
136,100101021,6461,6465,6420,6465,6420,6450,6464,6463,6420,6464,6464,6440,6464,6409,6420,6450,6440,6461,41,15.5,36.0,85.8,98
