,PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund
363,201605,102359,899782.2,732720,167062.2,0,0,0,0,0,0,0
364,201606,102359,726761.25,726761.25,0,0,0,0,0,0,0,0
365,201607,102359,342978.55,289000,53978.55,0,0,0,0,0,0,0
366,201608,102359,726139.55,726139.55,0,0,0,0,0,0,0,0
367,201609,102359,555429.45,555429.45,0,0,0,0,0,0,0,0
368,201610,102359,411229.45,357360,53869.45,0,0,0,0,0,0,0
369,201611,102359,95010.11,95010.11,0,0,0,0,0,0,0,0
370,201612,102359,65010.11,65010.11,0,0,0,0,0,0,0,0
371,201701,102359,160830.11,95820,65010.11,0,0,0,0,0,0,0
372,201702,102359,66310.11,66310.11,0,0,0,0,0,0,0,0
373,201703,102359,539590.11,539590.11,0,0,0,0,0,0,0,0
374,201704,102359,335690.11,335690.11,0,0,0,0,0,0,0,0
375,201705,102359,263457.71,263457.71,0,0,0,0,0,0,0,0
376,201706,102359,439377.71,439377.71,0,0,0,0,0,0,0,0
377,201601,10239,56807.05,56807.05,0,0,0,0,0,0,0,0
378,201602,10239,36287.03,36287.03,0,0,0,0,0,0,0,0
379,201603,10239,65837.64,65837.64,0,0,0,0,0,0,0,0
380,201604,10239,98774.51,98774.51,0,0,0,0,0,0,0,0
381,201605,10239,98606.35,98606.35,0,0,0,0,0,0,0,0
382,201606,10239,116789.83,116789.83,0,0,0,0,0,0,0,0
383,201607,10239,244134.65,244134.65,0,0,0,0,0,0,0,0
384,201608,10239,166689.29,166689.29,0,0,0,0,0,0,0,0
385,201609,10239,109682.3,109682.3,0,0,0,0,0,0,0,0
386,201610,10239,100102.85,100102.85,0,0,0,0,0,0,0,0
387,201611,10239,76179.58,76179.58,0,0,0,0,0,0,0,0
